INFO:root:Error merge: ['name', 'code', 'color', 'hight', 'img_name', 'price', 'country']
INFO:root:Error merge: ['СОУЛ', '2261', 'св.бежевый', '240', 'fa58dffd7e1044cf50b7f642f8af6dcd.jpg', '', '']
INFO:root:Error merge: ['СФЕРА BLACK-OUT', '225', 'белый', '220', '15cbe039f0632cb681df24da615c6063.jpg', '', '']
INFO:root:Error merge: ['СФЕРА BLACK-OUT', '1608', 'св. серый', '220', 'c21c4e7160f8d6ae018685ffb5feb3ba.jpg', '', '']
INFO:root:Error merge: ['СФЕРА BLACK-OUT', '2261', 'ваниль', '220', '7c4dd592d8872a04591a5b97fd787ef2.jpg', '', '']
INFO:root:Error merge: ['СФЕРА BLACK-OUT', '2406', 'бежевый', '220', '62d9700e8998da3b1605ed37f9b6d7d9.jpg', '', '']
INFO:root:Error merge: ['ФЛОРА BO', '225', 'белый', '200', '8a63b5920071dc4705a0ee14a8e393ee.jpg', '', '']
INFO:root:Error merge: ['ШЁЛК BLACK-OUT', '225', 'белый', '200', '3496219937cc4724564b32bb861d36b8.jpg', '', '']
INFO:root:Error merge: ['ШЁЛК BLACK-OUT', '2259', 'св.бежевый', '200', '30c5c419713e0a17a98ee652fc01ffb6.jpg', '', '']
INFO:root:Error merge: ['ШИКАТАН Путь самурая', '1608', 'серый', '180', 'b81bad64129cdb22e6c8a70f95131ae1.jpg', '', '']
INFO:root:Error merge: ['ШИКАТАН Путь самурая', '2746', 'бежевый', '180', '0ab66b7cdbc8eb7b44df65ca61b68d66.jpg', '', '']
INFO:root:Error merge: ['ШИКАТАН Путь самурая', '5501', 'св.зеленый', '180', 'ef8c78b09c16c59dd41d6d195c356f23.jpg', '', '']
INFO:root:Error merge: ['ШИКАТАН Чайная церемония', '2700', 'бежевый', '180', 'd64bc4813d4ebe072737d3e0bb84c10f.jpg', '', '']
INFO:root:Error merge: ['ШИКАТАН Чайная церемония', '2868', 'св.коричневый', '180', '679875a02d559452907cd8aae8bf9e38.jpg', '', '']
