ID,Type,Name,Published,Visibility in catalog,Description,Tax status,Tax class,In stock?,Regular price,Categories,Images,Parent,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 1 default,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global,Attribute 4 name,Attribute 4 value(s),Attribute 4 visible,Attribute 4 global,Attribute 5 name,Attribute 5 value(s),Attribute 5 visible,Attribute 5 global,Attribute 6 name,Attribute 6 value(s),Attribute 6 visible,Attribute 6 global
2552,variation,СКАНДИ - бирюзовый,1,visible,5612,taxable,parent,0,1,,http://kubanzhalyuzi.ru/wp-content/uploads/shop/rulon/images/a12fde2bf2ac7892b6bf34f23d5236a9.jpg,id:2549,цвет,бирюзовый,,0,,,,,,,,,,,,,,,,,,,,,
2554,variation,СКАНДИ - салатовый,1,visible,5852,taxable,parent,0,1,,http://kubanzhalyuzi.ru/wp-content/uploads/shop/rulon/images/c92f03cd06ff5ade146ec382b177ad0f.jpg,id:2549,цвет,салатовый,,0,,,,,,,,,,,,,,,,,,,,,
2555,variable,СКРИН 1%,1,visible,Рулонные жалюзи СКРИН 1%,taxable,,1,,Рулонные жалюзи,http://kubanzhalyuzi.ru/wp-content/uploads/shop/rulon/images/fefd50f8a624ab9fcb2d1b46a5d99bef.jpg,,цвет,"белый, св. серый, св. бежевый",1,0,белый,Ширина рулона (м),3.0,1,0,Страна,КИТАЙ,1,0,price,2676.56,0,0,custom_category_link,http://kubanzhalyuzi.ru/?p=934,0,0,tone,multitone,0,0
2556,variation,СКРИН 1% - белый,1,visible,225,taxable,parent,0,1,,http://kubanzhalyuzi.ru/wp-content/uploads/shop/rulon/images/fefd50f8a624ab9fcb2d1b46a5d99bef.jpg,id:2555,цвет,белый,,0,,,,,,,,,,,,,,,,,,,,,
2558,variation,СКРИН 1% - св. серый,1,visible,1608,taxable,parent,0,1,,http://kubanzhalyuzi.ru/wp-content/uploads/shop/rulon/images/ebbf67ea7f5172cc480180740708f1a5.jpg,id:2555,цвет,св. серый,,0,,,,,,,,,,,,,,,,,,,,,
2560,variation,СКРИН 1% - св. бежевый,1,visible,2261,taxable,parent,0,1,,http://kubanzhalyuzi.ru/wp-content/uploads/shop/rulon/images/a20cc50bbab4dbee458fe1fe888760e1.jpg,id:2555,цвет,св. бежевый,,0,,,,,,,,,,,,,,,,,,,,,
2561,variable,СКРИН 3%,1,visible,Рулонные жалюзи СКРИН 3%,taxable,,1,,Рулонные жалюзи,http://kubanzhalyuzi.ru/wp-content/uploads/shop/rulon/images/097b389d6ea169c538c0126bab4860bb.jpg,,цвет,"серый, серый, бежевый",1,0,серый,Ширина рулона (м),2.0,1,0,Страна,КИТАЙ,1,0,price,2504.50,0,0,custom_category_link,http://kubanzhalyuzi.ru/?p=934,0,0,tone,multitone,0,0
2562,variation,СКРИН 3% - серый,1,visible,1852,taxable,parent,0,1,,http://kubanzhalyuzi.ru/wp-content/uploads/shop/rulon/images/097b389d6ea169c538c0126bab4860bb.jpg,id:2561,цвет,серый,,0,,,,,,,,,,,,,,,,,,,,,
2564,variation,СКРИН 3% - серый,1,visible,1852,taxable,parent,0,1,,http://kubanzhalyuzi.ru/wp-content/uploads/shop/rulon/images/2cc156b87db0cff9784555efa6c419f9.jpg,id:2561,цвет,серый,,0,,,,,,,,,,,,,,,,,,,,,
2566,variation,СКРИН 3% - бежевый,1,visible,2259,taxable,parent,0,1,,http://kubanzhalyuzi.ru/wp-content/uploads/shop/rulon/images/b002c10523dc8f7965f070e2834ac5a1.jpg,id:2561,цвет,бежевый,,0,,,,,,,,,,,,,,,,,,,,,
